Ordinal,Codigo,CIG_SI_NO_*_2,votos_CIG,votos_No_CIG,Titulo,Resumen,Title,Abstract,,,,,
110,#C47,0,0,3,"Uso de teledetección y ANN en la evaluación de actividades de erosión en Majuli, la isla fluvial más grande del mundo","Majuli, la isla fluvial más grande del mundo, está situada al norte de Jorhat en la India y en la confluencia de los ríos Subansiri y Brahmaputra. Las inundaciones asolan a la población de 0.13 millones cada año, robándoles los requisitos básicos de la vida. Esta isla, que tenía más de 1245 km2 en la década de 1950, se redujo a 376,93 km2 en 2002 debido a la continua erosión de las orillas por el río Brahmaputra, destruyendo decenas de aldeas y desplazando a miles de personas. La herencia de la gente de Majuli, la civilización que han nutrido durante los últimos cinco siglos, está a punto de ser enterrada. El entierro de esta civilización será una pérdida para toda la humanidad. Por lo tanto, un enfoque global de este problema de inundación y posterior erosión se ha vuelto inevitable, y se necesita con urgencia para salvar la isla fluvial más grande del mundo, así como su brillante patrimonio cultural. Este artículo se centra en el estudio de los problemas de erosión de la isla en descomposición, desplegando sensores remotos y una técnica de red neuronal artificial (ANN).","Use of remote sensing and ANN in assessment of erosion activities in Majuli, the world##s largest river island","Majuli, the world##s largest river island, is situated to the north of Jorhat in India and at the confluence of the Subansiri and Brahmaputra rivers. Flooding ravages the population of 0.13 million every year, robbing them of the basic requirements of life. This island, which was over 1245Â km2 in the 1950s, was reduced to 376.93Â km2 in 2002 due to continuous erosion of banks by the Brahmaputra river, wiping out scores of villages and displacing thousands of people. The heritage of the people of Majuli, the civilization they have nurtured for the last five centuries, is about to be buried. Burial of this civilization will be a loss to the whole of humanity. Therefore, a global approach to this problem of flooding and subsequent erosion has become inevitable, and is urgently needed to save the world##s largest river island as well as its glowing cultural heritage. This paper focuses on the study of erosion problems of the decaying island, deploying remote sensing and an artificial neural network (ANN) technique.",,,,,
111,#C48,0,0,3,Variaciones espacio-temporales del dióxido de nitrógeno de la columna troposférica sobre Jing-Jin-Ji durante la última década,"De todos los contaminantes antropogénicos, el dióxido de nitrógeno (NO 2) tiene el efecto más negativo sobre la química atmosférica. En este estudio, las mediciones de la columna troposférica de NO 2 obtenida del instrumento de monitoreo de ozono (OMI) se utilizan para investigar la dinámica temporal y espacial de NO 2. Se presentan distribuciones temporales y espaciales de las concentraciones troposféricas de NO 2 obtenidas de OMI sobre la región de Beijing-Tianjin-Hebei (Jing-Jin-Ji) de 2007 a 2016, y se muestran los cambios anuales y las tendencias en el ciclo estacional. Se encuentra que las cantidades anuales de NO 2 aumentan primero y luego disminuyen, donde después de alcanzar un máximo en 2012 comienzan una disminución anual progresiva. El NO 2 muestra características estacionales cíclicas significativas sobre Jing-Jin-Ji, con valores máximos en invierno y mínimos en verano. Además, la distribución espacial está desequilibrada, y Beijing-Tianjin-Tangshan y Shijiazhuang-Xingtai-Handan son áreas altamente contaminadas. Los numerosos factores complejos que afectan las variaciones en el NO 2 se analizan en este artículo, y se enfatiza el impacto de los factores meteorológicos y las actividades humanas. Se considera que la temperatura y la precipitación son factores naturales que influyen en la concentración de NO 2, pero existe una relación negativa más fuerte entre la columna troposférica de NO 2 y la temperatura. Por lo tanto, la optimización de la estructura energética se considera importante y se requiere una reducción en el consumo de energía para controlar la concentración de contaminantes. La combustión del carbón es un factor antropogénico importante en el aumento de las concentraciones de NO 2, y existe una fuerte correlación entre mayores cantidades de NO 2 y el consumo de carbón en la región de Jing-Jin-Ji.",Spatiotemporal variations of tropospheric column nitrogen dioxide over Jing-Jin-Ji during the past decade,"Of all anthropogenic pollutants, nitrogen dioxide (NO 2 ) has the most negative effect on atmospheric chemistry. In this study, measurements of tropospheric column NO 2 obtained from the ozone monitoring instrument (OMI) are used to investigate temporal and spatial dynamics of NO 2 . Temporal and spatial distributions of tropospheric NO 2 concentrations obtained from OMI over the Beijing-Tianjin-Hebei (Jing-Jin-Ji) region from 2007 to 2016 are presented, and annual changes and trends in the seasonal cycle are shown. Annual amounts of NO 2 are found to firstly increase then decrease, where after reaching a maximum in 2012 they begin a progressive yearly decline. NO 2 shows significant cyclical seasonal characteristics over Jing-Jin-Ji, with maximum values in winter and minimum in summer. In addition, the spatial distribution is unbalanced, and Beijing-Tianjin-Tangshan and Shijiazhuang-Xingtai-Handan are found to be highly polluted areas. The many complex factors affecting variations in NO 2 are analysed in this article, and the impact of meteorological factors and human activities are emphasized. It is considered that temperature and precipitation are natural factors influencing NO 2 concentration but there is a stronger negative relationship between tropospheric column NO 2 and temperature. Optimization of the energy structure is thus considered to be important and a reduction in energy consumption is required to control the concentration of pollutants. Coal combustion is a major anthropogenic factor in increasing NO 2 concentrations, and there is a strong correlation between higher amounts of NO 2 and coal consumption in the Jing-Jin-Ji region.",,,,,
112,#C49,2,3,0,"Procesamiento del conjunto de datos Hyperion para la detección de minerales indicativos utilizando un método híbrido en Dost-Bayli, Irán","En los últimos años, la teledetección hiperespectral ha desempeñado un papel importante en el descubrimiento de la superficie terrestre y la desmezcla es una parte indispensable del análisis de datos hiperespectrales. La etapa más desafiante en la mezcla espectral es la determinación de los miembros finales (EM). Debido a la ausencia de píxeles puros, los métodos comunes basados â€‹â€‹en la suposición de píxeles puros no producen resultados precisos. Por otro lado, los datos hiperespectrales de Hyperion adquiridos por el sistema Earth Observating-1 (EO-1) de la Administración Nacional de Aeronáutica y del Espacio (NASA), están disponibles ampliamente pero con una menor relación señal / ruido (SNR) en comparación con espectrómetros aerotransportados. Por lo tanto, los métodos con menos sensibilidad a la cantidad de ruido serán más eficientes en el procesamiento de los datos de Hyperion. El algoritmo de factorización matricial no negativa restringida de volumen mínimo (MVC-NMF) es una técnica apropiada para la detección EM en este caso. Sin embargo, tiene deficiencias en el tratamiento de grandes datos. Para solucionar este problema, se aplicó el primer módulo del Sistema óptico de identificación espectral adaptativo en tiempo real (ORASIS) para la reducción de datos antes de ejecutar el algoritmo MVC-NMF. La técnica modificada se investigó luego en un conjunto de datos sintéticos ruidosos que los resultados demostraron su funcionalidad. La imagen de Hyperion del área de Dost-Bayli ubicada en la provincia de Ardabil, en el noroeste de Irán, no se mezcló con el enfoque mencionado. Para validar la precisión de los minerales detectados, se recolectaron 20 muestras de superficie del área de estudio y se analizaron por difracción de rayos X (XRD) para la detección de sus componentes mineralógicos y espectrometría para crear una biblioteca espectral nativa. Sin embargo, se aplicaron bibliotecas espectrales del Servicio Geológico de los Estados Unidos (USGS) y nativas en la identificación de EM estimados. Las firmas de los EM obtenidos por el método híbrido fueron apropiadamente similares a los espectros de referencia. Por lo tanto, los mapas de abundancia de minerales se generaron mediante desmezcla espectral lineal (LSU), que tienen una consistencia adecuada con los resultados de XRD. ","Processing of Hyperion data set for detection of indicative minerals using a hybrid method in Dost-Bayli, Iran","In recent years hyperspectral remote sensing has played an important role in discovering of the earth surface and unmixing is an indispensable part of the hyperspectral data analysis. The most challenging stage in the spectral unmixing is determination of endmembers (EMs). Because of the absence of pure pixels, common methods based on pure pixel assumption do not yield accurate results. On the other hand, Hyperion hyperspectral data acquired by National Aeronautics and Space Administration (NASA)â€™s Earth Observing-1 (EO-1) system, is available widely but with a lower signal-to-noise ratio (SNR) in comparison to airborne spectrometers. Therefore, the methods with less sensitivity to noise amount will be more efficient in processing of the Hyperion data. Minimum Volume Constrained Nonnegative Matrix Factorization (MVC-NMF) algorithm is then an appropriate technique for EM detection in this case. It, however, has shortcomings in dealing with large data. To fix this problem the first module of Optical Real-time Adaptive Spectral Identification System (ORASIS) was applied for data reduction before running of the MVC-NMF algorithm. The modified technique was then investigated on a set of noisy synthetic data that the outcomes proved its functionality. The Hyperion image of Dost-Bayli area located in the Ardabil province in northwestern Iran, was then unmixed by the mentioned approach. To validate the accuracy of detected minerals, 20 surface samples were collected from the study area and analysed by X-ray diffraction (XRD) for detection of their mineralogical constituents and spectrometry to create a native spectral library. However, both native and United States Geological Survey (USGS) spectral libraries were applied in identification of estimated EMs. The signatures of the obtained EMs by hybrid method were appropriately similar to reference spectra. The mineral abundances maps were therefore generated by linear spectral unmixing (LSU), which have proper consistency with XRD results.",,,,,
113,#C4A,2,3,0,"Investigando la relación entre los índices de IAF medidos y de vegetación en un prado alpino, en el noroeste de China","Del 11 al 15 de julio de 2002, se llevó a cabo una campaña de campo en el prado alpino de la cuenca del río Heihe, en el noroeste de China. Varios parámetros biogeofísicos como el índice de área foliar (LAI) se midieron de acuerdo con los procedimientos de muestreo de VALERI dentro de 38 unidades de muestreo elementales (ESU) en el sitio ##VALERI## de 3 km Ã— 3 km. Un cuarto de escena de Landsat 7 ETM + con tiempos de adquisición cercanos al tiempo de campaña fue corregido atmosférica y geográficamente. De la imagen ETM + corregida se derivaron tres tipos de mapas de índice de vegetación espectral que incluyen NDVI, SR y MSAVI en el área de muestreo. Se compararon los dos conjuntos de datos LAI medidos con LAIÂ® 2000 y el instrumento TRAC en el mismo sitio. Esto es particularmente significativo para evaluar la precisión de las mediciones de LAI. También se investigaron las relaciones entre el LAI medido y los tres tipos de índices de vegetación. Estas comparaciones encontraron buenas relaciones entre el LAI medido y los diferentes índices de vegetación en la mayoría de los casos. Entre ellos, NDVI parece el estimador más prometedor para la extracción de LAI para el prado alpino. Además, el LAIÂ® 2000 parece funcionar mejor para la medición del LAI en el prado alpino que el instrumento TRAC. ","Investigating the relationship between groundá¾¿measured LAI and vegetation indices in an alpine meadow, northá¾¿west China","A field campaign was carried out in the alpine meadow of Heihe River Basin, northá¾¿west China on 11â€“15 July 2002. Several bioá¾¿geophysical parameters such as leaf area index (LAI) were measured according to VALERI sampling procedures within 38 elementary sampling units (ESUs) in the 3Â kmÃ—3Â km â€˜VALERIâ€™ site. A quarter scene of Landsat 7 ETM+ with acquisition times close to the field campaign time was atmospherically and geographically corrected. Three kinds of spectral vegetation index maps including NDVI, SR and MSAVI in the sampling area were derived from the corrected ETM+ image. The two sets of LAI data measured with LAIá¾¿2000 and TRAC instrument at the same site were interá¾¿compared. This is particularly meaningful for assessing the accuracy of LAI measurements. The relationships between the measured LAI and the three kinds of vegetation indices were also investigated. These comparisons found good relationships between the measured LAI and the different vegetation indices in most cases. Among them, NDVI seems the most promising estimator for extraction of LAI for the alpine meadow. In addition, the LAIá¾¿2000 seems to perform better for LAI measurement in the alpine meadow than the TRAC instrument.",,,,,
114,#C4B,0,1,2,Análisis de la capa de hielo costera utilizando datos SAR ERS-1,"El Programa de Vigilancia Costera de la Administración Nacional Oceánica y Atmosférica (NOAA) está llevando a cabo una demostración del uso de datos del radar de apertura sintética (SAR) en un entorno operativo. En la fase de desarrollo de esta demostración, se llevaron a cabo estudios de casos para evaluar la utilidad de los datos SAR para monitorear el hielo costero en el Mar de Bering, los icebergs de glaciares paridos en Prince William Sound y el hielo de los lagos en los Grandes Lagos. Los datos de ERS-1 SAR se utilizaron en estos estudios. Los resultados mostraron que, dependiendo del tamaño y el estado del mar, se podían detectar icebergs desde el fondo y la computadora mejorada en las imágenes, que los datos SAR pueden complementar y mejorar la utilidad de las fuentes de datos satelitales visibles e infrarrojos para el monitoreo del hielo costero, y que la cubierta de hielo de los Grandes Lagos puede ser clasificado por tipo de hielo y mapeado en los datos SAR utilizando técnicas de procesamiento de imágenes. La nubosidad era un problema común. Basado en el desarrollo adicional de algoritmos de análisis automatizados y el aumento en la frecuencia de la cobertura de SAR, las capacidades de visualización de SAR de día / noche para todo clima lo convierten en una herramienta única y valiosa para la detección y monitoreo de hielo operacional.",Analysis of coastal ice cover using ERS-1 SAR data,"An applications demonstration of the use of Synthetic Aperture Radar (SAR) data in an operational setting is being conducted by the National Oceanic and Atmospheric Administration (NOAA) Coast Watch Program. In the development phase of this demonstration, case studies were conducted to assess the utility of SAR data for monitoring coastal ice in the Bering Sea, icebergs from calving glaciers in Prince William Sound, and lake ice in the Great Lakes. ERS-1 SAR data was used in these studies. Results showed that depending on size and sea state icebergs could be detected from background and computer enhanced in the imagery, that SAR data can supplement and enhance the utility of satellite visible and infrared data sources for coastal ice monitoring, and that Great Lakes ice cover can be classified by ice type and mapped in the SAR data using image processing techniques. Cloud cover was a common problem. Based on the further development of automated analysis algorithms and the increase in frequency of SAR coverage, the all-weather, day/night viewing capabilities of SAR make it a unique and valuable tool for operational ice detection and monitoring.",,,,,
115,#C4C,0,1,2,Navegación rápida de imágenes AVHRR utilizando modelos orbitales complejos,"Se presenta un método de mapeo desde coordenadas geográficas a la línea y la ubicación de píxeles en datos de Radiómetro avanzado de muy alta resolución (AVHRR) utilizando polinomios de Chebyshev para invertir modelos orbitales complejos como SGP4. El resultado es una aproximación computacionalmente eficiente al modelo con errores numéricos sustancialmente por debajo de la resolución de píxeles. Se describen mejoras adicionales diseñadas para reducir el tiempo de ejecución de un programa de reproyección de imágenes cartográficas basado en este método, y se presentan los resultados de las pruebas para ilustrar los beneficios de rendimiento.",Fast navigation of AVHRR images using complex orbital models,"A method of mapping from geographical coordinates to the line and pixel location in Advanced Very High Resolution Radiometer (AVHRR) data is presented using Chebyshev polynomials lo invert complex orbital models such as SGP4. The result is a computationally efficient approximation to the model with numerical errors substantially below pixel resolution. Further improvements designed to reduce the execution time of a cartographic image re-projection program based on this method are described, and test results are presented to illustrate the performance benefits.",,,,,
116,#C4D,0,1,2,Un examen de la relación entre la evolución del período primaveral del coeficiente de dispersión (Ïƒ Â°) y los flujos radiativos sobre el hielo marino terrestre,"En este trabajo examinamos la coevolución estacional de: El coeficiente de dispersión de microondas (ÏƒÂº) como se observa con ERS-1; los componentes radiativos del balance energético de la superficie; y las propiedades físicas y eléctricas del sistema de nieve / hielo marino. Realizamos tres conjuntos de pruebas de hipótesis diseñadas para iluminar aspectos específicos de esta coevolución. En el conjunto de hipótesis 1, contrastamos los componentes del balance de radiación observado entre los sitios de hielo de varios años (MYI) y de primer año (FYI). Descubrimos que la temperatura superficial de la piel (Ts) y el flujo de onda larga (L *) podrían considerarse estadísticamente indistinguibles entre MYI y FYI para las condiciones experimentadas durante el experimento de 1993 del Sitio de Monitoreo y Modelado de Hielo Marino Estacional (SIMMS ##93). Sin embargo, el flujo de onda corta (K *) y el flujo neto de onda total (Q *) se distinguieron estadísticamente entre los sitios MYI y FYI. En el conjunto de hipótesis 2 investigamos la naturaleza de la evolución estacional en Ïƒ Â° para seis sitios de hielo diferentes (tres tipos de varios años y tres de primer año). Demostramos que las formas de hielo de varios años tienen un patrón particular en su comportamiento estacional de u Â° que es distinto del patrón estacional de Ïƒ Â° para las formas de primer año y que la serie temporal de Ïƒ Â° podría usarse en la discriminación del tipo de hielo. En el conjunto de hipótesis 3 realizamos un análisis multivariado para explorar la relación entre los componentes del balance de radiación y la evolución estacional de Ïƒ Â°. Encontramos que de alt las variables de radiación probadas, K * explicó una porción estadísticamente significativa de la variación estacional observada en Ïƒ Â° en el sitio FYI pero no en el sitio MYI.",An examination of the relation between the spring period evolution of the scattering coefficient (ÏƒÂ°) and radiative fluxes over landfast sea-ice,"In this work we examine the seasonal co-evolution of: The microwave scattering coefficient (ÏƒÂº) as observed with ERS-1; the radiative components of the surface energy balance; and the physical and electrical properties of the snow/sea-ice system. We conduct three sets of hypothesis tests designed to illuminate specific aspects of this co-evolution. In Hypothesis Set 1 we contrasted components of the observed radiation balance between multiyear (MYI) and first-year (FYI) ice sites. We found that the surface skin temperature (Ts) and the longwave flux (L*) could be considered statistically indistinguishable between MYI and FYI for conditions experienced during the 1993 Seasonal Sea Ice Monitoring and Modelling Site (SIMMSâ€™93) experiment. The shortwave flux (K*) and net allwave flux (Q*) were however statistically distinguishable between the MYI and FYI sites. In Hypothesis Set 2 we investigated the nature of the seasonal evolution in ÏƒÂ° for six different ice sites (three multiyear and three first-year types). We showed that multiyear ice forms have a particular pattern in their seasonal behaviour of uÂ° which is distinct from the seasonal pattern of ÏƒÂ° for first-year forms and that the time series of ÏƒÂ° could be used in ice type discrimination. In Hypothesis Set 3 we conducted a multivariate analysis to explore the relationship between components of the radiation balance and the seasonal evolution of ÏƒÂ°. We found that of alt the radiation variables tested, K* explained a statistically significant portion of the observed seasonal variation in ÏƒÂ° at the FYI site but not at the MYI site.",,,,,
117,#C4E,0,1,2,La técnica multiespectral de composición de color: un método mejorado para mostrar imágenes satelitales meteorológicas,"La técnica Multiespectral Color-Composite consiste en superponer tres imágenes de ocho bits, cada una resultante de una combinación de canales y con un color diferente (azul, verde o rojo). Se ha utilizado ampliamente durante muchos años con datos de Landsat. El resultado es una imagen en color donde cada tipo de superficie (es decir, las diferentes nubes, los océanos, los continentes, la nieve) se caracteriza por su color, su intensidad y su textura. Esta técnica permite un uso rápido de todos los canales disponibles y evita el análisis visual de dos imágenes en blanco y negro. La distinción, con imágenes de METEOSAT o GOES, entre nubes bajas, medias, altas y delgadas durante el día es mucho más fácil con este método. Esta técnica aplicada a los datos NOAA-9 o NOAA-11 AVHRR permite una fácil detección de estratos durante la noche y la detección de suelo cubierto de nieve durante el día. Esta técnica se aplica rutinariamente a las imágenes AVHRR diurnas y nocturnas recibidas en el Centro de Meteorología Espacial de Lannion para producir imágenes rápidas disponibles en diapositivas. El disco completo METEOSAT del mediodía procesado por esta técnica se envía diariamente al canal de televisión francés TV1.",The multispectral colour-composite technique: An improved method to display meteorological satellite imagery,"The Multispectral Colour-Composite technique consists in superimposing three eight-bit images, each one resulting from a combination of channels and having a different colour (blue, green or red). It has been widely used for many years with Landsat data. The result is a coloured image where each surface type (i.e. the different clouds, the oceans, the continents, the snow) is characterized by its colour, its intensity and ils texture. This technique enables a fast use of all the available channels, and avoids the visual analysis of two black and white images. The distinction, with METEOSAT or GOES imagery, between low, medium, high and thin clouds during the day is much easier with this method. This technique applied to NOAA-9 or NOAA-11 AVHRR data enables an easy detection to be made of stratus during night-time and the detection of ground covered by snow during daytime. This technique is routinely applied to daytime and night-time AVHRR imagery received in the Centre de Meteorologie Spatiale in Lannion to produce quick-looks available on slides. Midday METEOSAT full disc processed by this technique is daily sent to the French television channel TV1.",,,,,
118,#C4F,0,1,2,"Relaciones entre el índice de aerosol, el ozono, el ángulo cenital solar y la reflectividad de la superficie: un estudio de caso de observaciones satelitales sobre Lagos","Se examinaron los datos diarios de reflectividad de superficie (RFL), ángulo cenital solar (SZA), índice de ozono e índice de aerosol (AI) sobre Lagos (6.60 Â° N, 3.33 Â° E) medidos por el espectrómetro de mapeo de ozono total (TOMS) para determinar la relación entre Los parametros. Descubrimos que la distribución de aerosoles puede explicar completamente los cambios en RFL en presencia de ozono cuando otros factores se mantienen constantes. También mostramos que la distribución de polvo en Lagos varía según la estación, alcanzando un máximo durante la estación seca local y un mínimo durante la estación húmeda local, mientras que el ozono alcanza su punto máximo durante la estación húmeda y disminuye al mínimo durante la estación seca. La variación del aerosol se relacionó aún más con el transporte estacional del polvo del Sahel por el viento del noreste que llega al lugar durante la estación seca y el eventual lavado de nubes durante la estación húmeda, mientras que la distribución del ozono se atribuyó al equilibrio cercano entre la producción y la pérdida de contaminante como consecuencia del transporte eólico local.","Relationships between aerosol index, ozone, solar zenith angle and surface reflectivity: A case study of satellite observations over Lagos","Surface reflectivity (RFL), solar zenith angle (SZA), ozone and aerosol index (AI) daily data over Lagos (6.60Â° N, 3.33Â° E) measured by the Total Ozone Mapping Spectrometer (TOMS) were examined to determine the relationship between the parameters. We found that aerosol distribution can fully account for changes in RFL in the presence of ozone when other factors are held constant. We also showed that dust distribution over Lagos varies seasonally, reaching a maximum during the local dry season and a minimum during the local wet season whereas ozone peaks during the wet season and decreases to a minimum during the dry season. Aerosol variation was further linked to the seasonal transport of sahelian dust by the northeasterly wind that arrives at the location during the dry season and the eventual cloud washout during the wet season while the ozone distribution was attributed to the near balance between production and loss of the pollutant as a consequent of local wind transport.",,,,,
119,#C50,2,2,1,Reflectividad simulada y medida de radar de banda X de tierra en terreno montañoso utilizando una antena de haz de ventilador,"Un programa de computadora para la localización de radares meteorológicos, previamente desarrollado para antenas de haz de lápiz, radares de banda C de largo alcance, se ha adaptado para radares de antena de haz de ventilador, corto alcance y banda X. El simulador utiliza información topográfica en forma de un modelo de elevación digital ráster y una sección transversal de retrodispersión de superficie por unidad de área en ángulos de pastoreo derivados de la literatura. Es independiente de sitios de radar y sistemas de radar específicos. Su uso mejorará las estrategias de exploración optimizadas, el diseño de la antena adaptada al terreno montañoso y el conocimiento de las mediciones de desorden terrestre en ángulos de pastoreo bajos. El enfoque basado en ráster utilizado en la implementación del programa lo hace compatible con cualquier resolución espacial deseada. La simplicidad y los cortos tiempos de simulación se han perseguido como objetivos principales durante las fases de planificación e implementación de las rutinas. En esta carta se presenta una validación preliminar del simulador utilizando datos de retrodispersión adquiridos en los Alpes.",Simulated and measured X-band radar reflectivity of land in mountainous terrain using a fan-beam antenna,"A computer program for meteorological radar siting, previously developed for pencil-beam antenna, long-range, C-band radars, has been adapted for fan-beam antenna, short-range, X-band radars. The simulator uses topographic information in the form of a raster digital elevation model and a surface backscattering cross-section per unit area at grazing angles derived from the literature. It is independent of specific radar sites and radar systems. Its use will enhance optimized scanning strategies, antenna design tailored to mountainous terrain and knowledge of land-clutter measurements at low grazing angles. The raster-based approach used in implementing the program makes it compatible with any desired spatial resolution. Simplicity and short simulation times have been pursued as primary goals during the planning and implementation phases of the routines. A preliminary validation of the simulator using backscattering data acquired in the Alps is presented in this letter.",,,,,
120,#C51,2,2,1,Segmentación de datos InSAR de alta resolución de un bosque tropical utilizando modelos deformables parametrizados de Fourier,"Actualmente, los mapas de árboles se producen a partir de mediciones de campo que requieren mucho tiempo y son costosos. La aplicación de técnicas existentes basadas en fotografía aérea a menudo se ve obstaculizada por la cubierta de nubes. Esto ha iniciado la investigación sobre la segmentación de datos de radar de apertura sintética interferométrica (SAR) de alta resolución para derivar mapas de árboles. Se construye un algoritmo robusto para posicionar de manera óptima los límites cerrados. El límite de la copa de un árbol se aproximará mejor cuando en todos los puntos del límite, el gradiente de la imagen de la coordenada z sea máximo y se dirija hacia adentro ortogonal al límite. Esta propiedad se puede expresar como el resultado de una integral de línea a lo largo del límite. Es probable que los límites con un gran valor para la integral de línea sean coronas de árboles. Este documento se centra en el procedimiento de búsqueda y en ilustrar cómo se puede utilizar el suavizado para evitar que la búsqueda quede atrapada en un óptimo local. La etapa final de detección de la corona no se describe en este documento, pero podría basarse en el gradiente e implementarse utilizando el valor descrito anteriormente para la integral de línea. Los resultados de este trabajo indican que una parametrización de Fourier con solo tres armónicos (nueve parámetros) puede describir la variación de forma en la proyección de corona 2D con suficiente detalle. Los conjuntos de datos terrestres actuales no son adecuados para obtener estadísticas de detección como el porcentaje de copas de árboles detectadas y el número de falsas alarmas. Se necesitarán mejores conjuntos de datos en tierra para evaluar el rendimiento del algoritmo para situaciones reales de mapeo de árboles.",Segmentation of high-resolution InSAR data of a tropical forest using Fourier parameterized deformable models,"Currently, tree maps are produced from field measurements that are time consuming and expensive. Application of existing techniques based on aerial photography is often hindered by cloud cover. This has initiated research into the segmentation of high resolution airborne interferometric Synthetic Aperture Radar (SAR) data for deriving tree maps. A robust algorithm is constructed to optimally position closed boundaries. The boundary of a tree crown will be best approximated when at all points on the boundary, the z-coordinate image gradient is maximum, and directed inwards orthogonal to the boundary. This property can be expressed as the result of a line integral along the boundary. Boundaries with a large value for the line integral are likely to be tree crowns. This paper focuses on the search procedure and on illustrating how smoothing can be used to prevent the search from becoming trapped in a local optimum. The final crown detection stage is not described in this paper but could be based on the gradient and implemented using the above described value for the line integral. Results of this paper indicate that a Fourier parametrization with only three harmonics (nine parameters) can describe the shape variation in the 2D crown projection in sufficient detail. Current ground datasets are not suitable for obtaining detection statistics such as the percentage of tree crowns detected and the number of false alarms. Better ground datasets will be needed to evaluate algorithm performance for real tree mapping situations.",,,,,
121,#C52,2,3,0,Un marco para la evaluación automatizada de daños a edificios posteriores al terremoto utilizando datos geoespaciales,"Basado en el modelo de red irregular triangulada (TIN), coordenadas barcéntricas y puntos aleatorios, se desarrolló un nuevo método para una caracterización más precisa de las firmas de formas 3D de los edificios utilizando datos de Detección de Luz y Rango (LiDAR) y Sistema de Información Geográfica (SIG). El nuevo método se aplicó a cuatro modelos de construcción simulados con techos planos, inclinados, a dos aguas y de cadera para probar la detección de cambios en las formas de construcción en 3D en un escenario posterior al terremoto: un modelo de construcción de tres pisos se convierte en dos pisos después de perder el primero. piso; un daño severo de un modelo de construcción de dos pisos; y (3) un colapso total de un modelo de construcción de dos pisos. El nuevo método se aplicó a los datos reales de LiDAR de cuatro edificios en el condado de Harris, TX, EE. UU. Todos los cambios en las formas 3D de los modelos y edificios reales se detectaron con éxito utilizando firmas de formas 3D. Se llevaron a cabo análisis de sensibilidad para probar la influencia de la densidad de puntos LiDAR y nuevos puntos en triángulos TIN en firmas de formas 3D. Los resultados sugieren que la densidad de puntos LiDAR de 0.5 puntos m-2 o superior puede generar firmas de forma 3D estables de edificios, y que la densidad de los nuevos puntos en triángulos TIN no afecta significativamente las firmas de formas 3D. Sobre la base del nuevo método y los resultados, se propuso un marco para una evaluación automatizada de daños a edificios posteriores al terremoto utilizando datos geoespaciales. Se presentó un diagrama de flujo para proporcionar más detalles del marco, y también se discutieron las ventajas y limitaciones del marco. Se espera que el marco se pueda aplicar de manera efectiva a la evaluación de daños en edificios posteriores al terremoto y otros escenarios de desastres que involucren cambios importantes en las formas de los edificios en 3D.",A framework for automated assessment of post-earthquake building damage using geospatial data,"Based on the triangulated irregular network (TIN) model, barycentric coordinates and random points, a new method was developed for more accurate characterization of 3D shape signatures of buildings using Light Detection and Ranging (LiDAR) data and Geographic Information System (GIS). The new method was applied to four simulated building models with flat, pent, gable and hip roofs to test the detection of changes in 3D building shapes in a post-earthquake scenario: a three-storey building model becomes two-storey after losing the first floor; a severe damage of a two-storey building model; and (3) a total collapse of a two-storey building model. The new method was then applied to real LiDAR data from four buildings in Harris County, TX, USA. All the changes in 3D shapes of the models and real buildings were successfully detected using 3D shape signatures. Sensitivity analyses were carried out to test the influence of LiDAR point density and new points in TIN triangles on 3D shape signatures. The results suggest that LiDAR point density of 0.5 point m-2 or higher can generate stable 3D shape signatures of buildings, and that the density of the new points in TIN triangles does not affect 3D shape signatures significantly. Built upon the new method and results, a framework was proposed for an automated assessment of post-earthquake building damage using geospatial data. A flowchart was presented to provide more details of the framework, and the advantages and limitations of the framework were also discussed. It is expected that the framework can be effectively applied to post-earthquake building damage assessment and other disaster scenarios that involve major changes in 3D building shapes.",,,,,
