Authors;Author(s) ID;Title;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;Cited by;DOI;Link;Affiliations;Authors with affiliations;Abstract;Author Keywords;Index Keywords;Document Type;Publication Stage;Access Type;Source;EID;label
Gardiner A., Perkins C.;"36783120500;7101705267;";Teaching touch on the towpath: A tactile map for a visit to the countryside;1996;Cartographic Journal;33;2;;111;118;;1;10.1179/caj.1996.33.2.111;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030404957&doi=10.1179%2fcaj.1996.33.2.111&partnerID=40&md5=d2ebb6d35ba41e11477b766cfb89e40d;School of Geography, University of Manchester, Oxford Road, Manchester, United Kingdom;"Gardiner, A., School of Geography, University of Manchester, Oxford Road, Manchester, United Kingdom; Perkins, C., School of Geography, University of Manchester, Oxford Road, Manchester, United Kingdom";This paper describes the design of a tactile map to enable a child with visual impairment to develop map reading skills, and to explore and appreciate a small area of countryside. A prototype map was developed and following user feedback the design was re-evaluated and a complete tactile mapping package to aid environmental education was produced.;;"environmental education; map reading; tactile map; visually impaired people";Article;Final;;Scopus;2-s2.0-0030404957;1
Rubin R.;"21935196700;";Jerusalem in Braun and Hogenberg Civitates;1996;Cartographic Journal;33;2;;119;129;;5;10.1179/caj.1996.33.2.119;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030392333&doi=10.1179%2fcaj.1996.33.2.119&partnerID=40&md5=312f1e9feceef6b4a2278c93c6092e41;Dept of Gepgraphy, Hebrew University, Jerusalem 91905, Israel;Rubin, R., Dept of Gepgraphy, Hebrew University, Jerusalem 91905, Israel;Among the many cities depicted in the Civiates Orbis Terrarum by George Braun and Franz Hogenberg (Cologne, Vol.I-VI, 1572-1617), the city of Jerusalem was given a special status having been depicted in three different maps, each of them located in a different volume. None of these maps are drawn originally by Braun and Hogenberg, but all three of them were copies of maps printed earlier by other mapmakers. This paper describes these three different maps of Jerusalem, draws the distinction between realistic and imaginery information presented in them, and traces their sources through textual and graphic evidence.;;"Braun, G.; documentary source; historical cartography; history of cartography; Hogenberg, F.; map; map document; Israel; Jerusalem";Article;Final;;Scopus;2-s2.0-0030392333;1
Li Z., Su B.;"7409077661;57207175522;";From phenomena to essence: Envisioning the nature of digital map generalisation;1995;Cartographic Journal;32;1;;45;47;;8;10.1179/caj.1995.32.1.45;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047699419&doi=10.1179%2fcaj.1995.32.1.45&partnerID=40&md5=77a5ee95c88470340e3c1d3ebeaff5e4;School of Surveying and Technology, Curtin University of Technology, GPO Box U 1987, Perth, WA, 6001, Australia;"Li, Z., School of Surveying and Technology, Curtin University of Technology, GPO Box U 1987, Perth, WA, 6001, Australia; Su, B., School of Surveying and Technology, Curtin University of Technology, GPO Box U 1987, Perth, WA, 6001, Australia";This paper intends to discuss the nature or essence of digital map generalisation. Existing work is examined and new views are expressed. First of all, the motivation of generalisation is discussed. It is then grouped into two types, i.e. direct and indirect motivation and it is argued that scale is the only element in direct motivation. Based on this argument, two fundamental processes in digital map generalisation are distinguished, i.e. transformation of reality in scale dimension (digital data generalisation) and digital-to-graphic transformation (graphic presentation). Finally, a framework is devised for both of these two processes. © 1995, Maney Publishing.;;"digital map; generalisation";Article;Final;;Scopus;2-s2.0-85047699419;1
Lee J.;"57196136752;";Map design and GIS - A survey of map usage amongst GIS users;1995;Cartographic Journal;32;1;;33;44;;4;10.1179/caj.1995.32.1.33;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047697179&doi=10.1179%2fcaj.1995.32.1.33&partnerID=40&md5=7cd72283e1afcf99f67cfe546545648c;Division of Geology and Cartography, Oxford Brookes University, Gipsy Lane, Headington, 0X3 OBP, United Kingdom;Lee, J., Division of Geology and Cartography, Oxford Brookes University, Gipsy Lane, Headington, 0X3 OBP, United Kingdom;"A questionnaire was designed to elicit information about the maps produced by a wide range of users of Geographical Information Systems (GIS); 114 replies were received, 95 of which were usable. It seems as though maps are widely used by GIS operators and they appear to be the primary means of representing results of a GIS analysis. Only two of the 95 respondents did not produce any map output. Both maps and tables were most commonly produced for on-screen display rather than as hardcopy. The majority of users produced maps from commercially purchased data. In most cases, the maps produced were not for publication, and there was a corresponding lack of attention to design quality. Given the extensive use of maps in GIS it is hoped to develop a cartographic design system to enable users to produce meaningful maps which communicate spatial data effectively. © 1995, Maney Publishing.";;"GIS; map design; map usage";Article;Final;;Scopus;2-s2.0-85047697179;1
Green D.R.;"56808318200;";Cartographic activities in the united kingdom, 1991-1995;1995;Cartographic Journal;32;1;;50;73;;2;10.1179/caj.1995.32.1.50;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047695562&doi=10.1179%2fcaj.1995.32.1.50&partnerID=40&md5=b7c359039e69ae70105f7c01dcb6276c;Centre for Remote Sensing and Mapping Science, Department of Geography, University of Aberdeen, Elphinstone Road, Aberdeen, AB9 2UF, United Kingdom;Green, D.R., Centre for Remote Sensing and Mapping Science, Department of Geography, University of Aberdeen, Elphinstone Road, Aberdeen, AB9 2UF, United Kingdom;[No abstract available];;"cartography (1991-1995); information technology; national overview; UK";Article;Final;;Scopus;2-s2.0-85047695562;1
Wood M.;"25123434100;";The international cartographic association-progress during 1991-95;1995;Cartographic Journal;32;2;;159;164;;;10.1179/caj.1995.32.2.159;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975026985&doi=10.1179%2fcaj.1995.32.2.159&partnerID=40&md5=029ed1f56572a44f6b02f66319c3cda4;Department of Geography, University of Aberdeen, United Kingdom;Wood, M., Department of Geography, University of Aberdeen, United Kingdom;This paper is based on the recent ICA publication “The Achievements of the ICA, 1991-95”. It reviews some of the background of the organisation but concentrates on the recent activities of the Commissions and Working Groups. © 1995 The British Cartographic Society.;;;Article;Final;;Scopus;2-s2.0-84975026985;1
Green D.R.;"56808318200;";Software review;1995;Cartographic Journal;32;2;;190;191;;;10.1179/caj.1995.32.2.190;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975015969&doi=10.1179%2fcaj.1995.32.2.190&partnerID=40&md5=2dbd3eff68b0d262ccd19e639749217a;Centre for Remote Sensing and Mapping Science, Department of Geography, University of Aberdeen, AB9 2UF, United Kingdom;Green, D.R., Centre for Remote Sensing and Mapping Science, Department of Geography, University of Aberdeen, AB9 2UF, United Kingdom;[No abstract available];;;Review;Final;;Scopus;2-s2.0-84975015969;1
Green D.R.;"56808318200;";Editorial;1995;Cartographic Journal;32;1;;4;5;;;10.1179/000870495787073843;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975010581&doi=10.1179%2f000870495787073843&partnerID=40&md5=c58e913e15f8334e7aa6307b23110021;;Green, D.R.;[No abstract available];;;Article;Final;;Scopus;2-s2.0-84975010581;1
Green D.R.;"56808318200;";Editorial;1995;Cartographic Journal;32;2;;110;;;;10.1179/caj.1995.32.2.111;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974980242&doi=10.1179%2fcaj.1995.32.2.111&partnerID=40&md5=9c9dea3afef550b359e214c9274c2152;;Green, D.R.;[No abstract available];;;Editorial;Final;;Scopus;2-s2.0-84974980242;1
Addison D.;"57189718911;";Maps to sleep and dream to;1995;Cartographic Journal;32;1;;48;49;;;10.1179/caj.1995.32.1.48;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974965945&doi=10.1179%2fcaj.1995.32.1.48&partnerID=40&md5=876c570b94e8218888d0a8d54b47e931;Gray’s School of Art, The Robert Gordon University, Aberdeen, United Kingdom;Addison, D., Gray’s School of Art, The Robert Gordon University, Aberdeen, United Kingdom;There are positive qualities inherent in maps, qualities beyond the function of informing and explaining, which in certain hospital contexts are palliative. Donald Addison, Senior Research Fellow at the Centre for Research in Art and Design, is currently engaged on research with an aim to provide proper evidence as to the influence of the visual arts on the quality of life of patients and staff in hospitals and hospices. © 1995, Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-84974965945;1
Smith D.;"55574205784;";The preparation of the town maps for lysons’ magna britannia;1995;Cartographic Journal;32;1;;11;17;;;10.1179/caj.1995.32.1.11;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029546687&doi=10.1179%2fcaj.1995.32.1.11&partnerID=40&md5=62e4fce671106053f7119cb577f6a23b;Bexley College, Tower Road, Belvedere, DA17 6JA, United Kingdom;Smith, D., Bexley College, Tower Road, Belvedere, DA17 6JA, United Kingdom;Although methods of map preparation and production in the nineteenth century are generally understood, in truth little is known in detail. A rare opportunity to further understanding of the methods of the day is offered by the analysis of the surviving working documents and correspondence related to the production of town maps for Lysons’ Magna Britannia. As methods of compilation and preparation become clearer, some of the resultant town maps appear more original and carefully created than previously thought, forcing a reassessment of their value as historical evidence. © 1995, Maney Publishing.;;"documentary source; history of cartography; Lysons; Magna Britannia; map preparation; map production; nineteenth century; S.; town map; UK";Article;Final;;Scopus;2-s2.0-0029546687;1
Buchanan H.;"7005512717;";Product conformance with BS7567 (NTF) with an example studying ordnance survey boundary line;1995;Cartographic Journal;32;1;;18;23;;;10.1179/caj.1995.32.1.18;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029541099&doi=10.1179%2fcaj.1995.32.1.18&partnerID=40&md5=2aab9438195cad0c3931986260f445ca;Department of Surveying, University of Newcastle upon Tyne, Newcastle upon Tyne, NE1 7RU, United Kingdom;Buchanan, H., Department of Surveying, University of Newcastle upon Tyne, Newcastle upon Tyne, NE1 7RU, United Kingdom;Product conformance is the process of testing a product against a published set of rules. The application of this to spatial data is to national standards for the transfer ofspatial data, such as British Standard 7567, or NTF. Syntactic conformance studies the detailed content of the spatial data set. We have studied the syntactic conformance of various Ordnance Survey products with BS7567. Data model conformance deals with the logical relationships between different features in the transfer set, and whether these are portrayed according to the standard. We look at the Ordnance Survey’s Boundary Line product. This is supplied in Level 3 of BS7567: an alternative approach allowing the product to be transferred at Level 4 is suggested. © 1995, Maney Publishing.;;"NTF; Ordnance Survey; standards; transfer; UK";Article;Final;;Scopus;2-s2.0-0029541099;1
Su B., Li Z.;"57207175522;7409077661;";An algebraic basis for digital generalization of area-patches based on morphological techniques;1995;Cartographic Journal;32;2;;148;153;;15;10.1179/caj.1995.32.2.148;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029536929&doi=10.1179%2fcaj.1995.32.2.148&partnerID=40&md5=3880f3f6e36b8f30fc3fbaad4da738ed;School of Surveying and Land Information, Curtin University of Technology, GPO Box U 1987, Perth, 6001, Australia;"Su, B., School of Surveying and Land Information, Curtin University of Technology, GPO Box U 1987, Perth, 6001, Australia; Li, Z., School of Surveying and Land Information, Curtin University of Technology, GPO Box U 1987, Perth, 6001, Australia";This paper describes some algebraic models for the automated generalization of area-patches. These models are based on techniques developed in mathematical morphology, which is a science dealing with the form and shapes of objects, and will form an algebraic basis for area-patch generalization. These models are fully illustrated and tested. The results show that such models are very promising. © 1995 The British Cartographic Society.;;"algebraic model; area patch; cartography; mathematical morphology";Article;Final;;Scopus;2-s2.0-0029536929;1
Waters H.;"7005523890;";Feasibility studies for mapping projects in developing countries;1995;Cartographic Journal;32;2;;143;147;;;10.1179/caj.1995.32.2.143;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029531098&doi=10.1179%2fcaj.1995.32.2.143&partnerID=40&md5=72264ee51c48b410d309c3d25a04c75d;Department of Surveying and Mapping, University of Natal, Durban, South Africa;Waters, H., Department of Surveying and Mapping, University of Natal, Durban, South Africa;Although feasibility is a subjective word, especially when it comes to project management, this paper provides some guidelines on how to go about a feasibility study, what factors to look at in both small and international mapping projects, and what procedure to follow. The author looks at the subject from the viewpoint of the mapping contractor who may be considering undertaking a project in a developing country. Most of the factors which influence mapping projects are particularly pertinent to developing countries, but many factors could apply equally to any large mapping project. © 1995 The British Cartographic Society.;;"developing country; feasibility study; mapping; mapping project; project management";Article;Final;;Scopus;2-s2.0-0029531098;1
Collier P., Fontana D., Pearson A.;"7102262066;7102369293;7401994417;";GIS mapping of Langstone Harbour for an integrated ecological and archaeological study;1995;Cartographic Journal;32;2;;137;142;;3;10.1179/caj.1995.32.2.137;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029527481&doi=10.1179%2fcaj.1995.32.2.137&partnerID=40&md5=20946bbf2cf0f2ed1cf17cc2b832f193;Department of Geography, University of Portsmouth, United Kingdom;"Collier, P., Department of Geography, University of Portsmouth, United Kingdom; Fontana, D., Department of Geography, University of Portsmouth, United Kingdom; Pearson, A., Department of Geography, University of Portsmouth, United Kingdom";The work discussed in this paper aims to develop a Geographic Information System (GIS) to hold and display environmental and archeological data for the analysis of an inter-tidal zone. Langstone Harbour on the south coast of Hampshire, England, forms the study area. The work is being carried out with the support of The Royal Society for the Protection of Birds (RSPB) and Hampshire County Council. As it was found that existing topographic mapping would not provide a suitable topographic base for such an inter-tidal area, metric aerial photography and analytical photogrammetry were employed to create a detailed topographic base. The photogrammetric models were fitted within a control network established using a high precision differential Global Positioning System (GPS). Recorded three dimensional coordinates of archaeological finds and structures will allow the comparison between environmental and locational contexts of coastal archaeological structures. This will greatly enlarge the available archaeological data set, adding value to the data, as well as assisting the study of sea level change and wider coastal processes. Conversion and integration of other environmental data is adding further data layers of the GIS. © 1995 The British Cartographic Society.;;"aerial photography; archaeological data; archaeological evidence; environmental data; GIS; global positioning system; GPS; historical method; inter-tidal zone; photogrammetry; UK, England, Hampshire, Langstone Harbour";Article;Final;;Scopus;2-s2.0-0029527481;1
Morrison C., Forres D.;"7201897999;57189722010;";A study of point symbol design for computer based large scale tourist mapping;1995;Cartographic Journal;32;2;;126;136;;10;10.1179/caj.1995.32.2.126;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029526302&doi=10.1179%2fcaj.1995.32.2.126&partnerID=40&md5=18c508cfd16b73f869c5cf59e71d701c;"134 Grantham Road, Waddington, Lincoln, LN5 9NU, United Kingdom; Department of Geography and Topographic Science, University of Glasgow, Glasgow, G12 8QQ, United Kingdom";"Morrison, C., 134 Grantham Road, Waddington, Lincoln, LN5 9NU, United Kingdom; Forres, D., Department of Geography and Topographic Science, University of Glasgow, Glasgow, G12 8QQ, United Kingdom";This study examines the design of point symbols for tourist information on maps displayed on a CRT display within a public information system. The main aim was to investigate the effects of colour and size on the recognition offeatures. A further aim was to develop guidelines for the design of point symbols for such displays. A set of symbols were designed and subjected to preliminary comprehension tests. Test maps were developed and a wide range of users tested for search and recognition of the selected symbols. It was found that larger symbols performed better than medium symbols, which performed better smaller sized symbols. Black symbols were also found to perform better than red, green or blue symbols of the same size. © 1995 The British Cartographic Society.;;"cartography; point symbol; symbol design; tourist map";Article;Final;;Scopus;2-s2.0-0029526302;1
Burt I.;"6602231923;";Clarity and sense of place in maps;1995;Cartographic Journal;32;2;;154;158;;1;10.1179/caj.1995.32.2.154;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029505397&doi=10.1179%2fcaj.1995.32.2.154&partnerID=40&md5=a18018b20197812c89d0ed5ca1153d11;Centre for Art and Design Research, Gray’s School of Art, Robert Gordon University, Aberdeen, United Kingdom;Burt, I., Centre for Art and Design Research, Gray’s School of Art, Robert Gordon University, Aberdeen, United Kingdom;The idea that clarity of understanding can be a function of experience suggests that the more ways an image is experienced the clearer its meaning becomes. Bringing together maps and illustrations can enhance experience and enrich awareness. This paper develops this idea in relation to graphic design, stereopsis, and mapping. Research, using a red/green three dimensional (3-D) map design, examines the physiological impact of spatial data from the point of view of clarity and the direct experience of space to augment sight. © 1995 The British Cartographic Society.;;"graphic design; image enhancement; map design; stereoscopic vision; three dimensional mapping";Article;Final;;Scopus;2-s2.0-0029505397;1
Li Z.;"7409077661;";An examination of algorithms for the detection of critical points on digital cartographic lines;1995;Cartographic Journal;32;2;;121;125;;15;10.1179/caj.1995.32.2.121;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029503748&doi=10.1179%2fcaj.1995.32.2.121&partnerID=40&md5=d320c7b7c09a19efb8c8ecabeca29dba;School of Surveying and Land Information, Curtin University of Technology, Perth, WA, Australia;Li, Z., School of Surveying and Land Information, Curtin University of Technology, Perth, WA, Australia;The detection of critical points is an important issue in many disciplines such as computer vision, image processing, pattern recognition, computer graphics and cartography/GIS. Numerous algorithms have been developed since the late 1960s. These algorithms can be classified into three major groups, i.e. corner detection, polygonal approximation, and a hybrid technique which is a combination for the first two. This paper aims to provide a review, and to examine the advantages and disadvantages, of these various algorithms in all of these three categories. © 1995 The British Cartographic Society.;;"algorithm; critical point detection; digital cartographic data; GIS; image processing; pattern recogition";Article;Final;;Scopus;2-s2.0-0029503748;1
Birley R., Tasker N.;"6507183254;57189721031;";Dyscover: A world of special maps for special people;1995;Cartographic Journal;32;2;;117;120;;1;10.1179/caj.1995.32.2.117;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029503747&doi=10.1179%2fcaj.1995.32.2.117&partnerID=40&md5=c4b0b9785f8f111e1ae12c6fe9f64d05;65 Hamilton Road, Taunton, Somerset, TA1 2EL, United States;"Birley, R., 65 Hamilton Road, Taunton, Somerset, TA1 2EL, United States; Tasker, N., 65 Hamilton Road, Taunton, Somerset, TA1 2EL, United States";For people suffering from Specific Learning Difficulties maps can be confusing and frightening documents. Even the colours used may present an alarming image which cannot be seen - let alone understood. We have identified five such areas of “Dys” functions and linked them to colour preferencing. We can find no evidence that this common denominator has been previously investigated. Modern mapping software packages offer the facility to create bespoke colour maps to meet such specific require¬ments.Our research into individual map content and design warrants further study. To date, we have produced a tailormade map, that works, for one such child. © 1995 The British Cartographic Society.;;"cartography; colour map design; map design; visualization";Article;Final;;Scopus;2-s2.0-0029503747;1
Moore J.N.;"7405242629;";The ordnance survey 1:500 town plan of glasgow: A study of large-scale mapping, departmental policy and local opinion.;1995;Cartographic Journal;32;1;;24;32;;;10.1179/caj.1995.32.1.24;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029484141&doi=10.1179%2fcaj.1995.32.1.24&partnerID=40&md5=8f20c10ee5320f0c33e0dc02abcdfc07;Glasgow University Library, University of Glasgow, Glasgow, G12 8QE, United Kingdom;Moore, J.N., Glasgow University Library, University of Glasgow, Glasgow, G12 8QE, United Kingdom;The work of the Ordnance Survey in Scotland has been rarely considered at a local level. Several bodies in Glasgow contributed to an extensive correspondence regarding the plan of the city and the appropriate scales of survey. This paper discusses the representation as an insight onto a wider perspective of the development of Ordnance Survey policy in the midVictorian era. © 1995, Maney Publishing.;;"history of cartography; large scale; map production; mapping; nineteenth century; Ordnance Survey; public opinion; town plan; Glasgow; Scotland; UK";Article;Final;;Scopus;2-s2.0-0029484141;1
Krygier J.B.;"7004039482;";Cartography as an art and a science?;1995;Cartographic Journal;32;1;;3;10;;37;10.1179/caj.1995.32.1.3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029476022&doi=10.1179%2fcaj.1995.32.1.3&partnerID=40&md5=47b1d0a2909d8bb6a08d57c928c70ad8;Penn State University Department of Geography, 302 Walker Building, PA, 16802, United States;Krygier, J.B., Penn State University Department of Geography, 302 Walker Building, PA, 16802, United States;Regardless of changing official definitions, many cartographers continue to think of cartography in terms of art and science. This paper critiques the use of the art/science dualism as a means of understanding cartography, particularly by those interested in reexamining the role of aesthetics, design, and visual expression in cartography. Two basic approaches to ‘art’ and 'science' in the context of cartography and information graphics are described along with their limitations. It is argued that the manner in which the art/science dualism has been used in cartography does not stand up under close scrutiny and that attempts to strictly differentiate art and science have ended in confusion while simultaneously demeaning both art and science. It is suggested that various and seemingly divergent trends including postmodern deconstruction, hypermedia, cognitive psychology, semiotics, geographical information systems, and visualization all point to a process oriented means of understanding cartography. Within this process, ‘art’ and ‘science’ serve a functionally similar role, informing the different ways in which we come to know and re-know our human and physical worlds. © 1995, Maney Publishing.;;"cartography; deconstruction; GIS; semiotics; visualization";Article;Final;;Scopus;2-s2.0-0029476022;1
Hobbs F.;"7005778921;";The rendering of relief images from digital contour data;1995;Cartographic Journal;32;2;;111;116;;8;10.1179/caj.1995.32.2.111;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029499537&doi=10.1179%2fcaj.1995.32.2.111&partnerID=40&md5=076be86bd0b6b9ead06127f80900bcb5;;Hobbs, F.;Existing methods of modelling and rendering relief from digitised countours adopt either regular grid or triangulated irregular network approaches. An alternative approach has been developed which calculates profiles across the contour model, typically at about 1 mm separation at the visualisation scale, in the direction of an assumed illumination source. Intensity values are calculated for the profile swathes by considering profile gradient and local slope characteristics. The resulting shaded model gives an effective visualisation. Single light source images of shaded relief are often incomplete in their rendering because they favour relief trend lines in certain directions only. A technique has been developed to overlay generated shaded images from a range of illumination directions using a multiband approach, which has been found to enhance visualisation. -from Author;;"contour model; digital contour data; relief image; visualization";Article;Final;;Scopus;2-s2.0-0029499537;1
Murray K.J.;"55680670800;";Ordnance survey explores new heights;1994;Cartographic Journal;31;1;;45;49;;;10.1179/caj.1994.31.1.45;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047699626&doi=10.1179%2fcaj.1994.31.1.45&partnerID=40&md5=b8fe8175eda07caa8bfc3cdf21427eaf;Ordnance Survey, Romsey Road, Maybush, Southampton, SOI6 4GU, United Kingdom;Murray, K.J., Ordnance Survey, Romsey Road, Maybush, Southampton, SOI6 4GU, United Kingdom;Height information has always formed an integral part of Ordnance Survey’s map information. From the days of depiction by hachuring on one inch maps to today’s Digital Elevation Models the aim has always been to represent the terrain for strategic purposes.The combination of national terrain model coverage, increasing height resolution and the continuing improvement in computing power has the potential to open new areas and markets for digital map data. This will involve the integration of vector, raster and digital imagery, in a variety of complementary applications and outputs.The future for three dimensional elevation data looks promising. Before the end of the decade we might increasingly expect real-time interaction with 3-d mapping and models of some complexity. © 1994 Maney Publishing.;;"digital map data; ditital elevation model; Ordnance Survey";Article;Final;;Scopus;2-s2.0-85047699626;1
Taylor D.R.F.;"57203236055;";Cartography for knowledge, action and development: Retrospective and prospective;1994;Cartographic Journal;31;1;;52;55;;18;10.1179/caj.1994.31.1.52;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974941498&doi=10.1179%2fcaj.1994.31.1.52&partnerID=40&md5=05593df51744149e9f5266907afc5e5e;ICA, Carleton University, Ottawa, K15 5B6, Canada;Taylor, D.R.F., ICA, Carleton University, Ottawa, K15 5B6, Canada;This article was presented by the author as the closing address of the 16th ICA Conference, Cologne, Germany (May 1993). © 1994 Maney Publishing.;;;Article;Final;;Scopus;2-s2.0-84974941498;1
Langford M., Unwin D.J.;"7006486730;7005862837;";Generating and mapping popuiation density surfaces within a geographical information system;1994;Cartographic Journal;31;1;;21;26;;175;10.1179/caj.1994.31.1.21;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028665603&doi=10.1179%2fcaj.1994.31.1.21&partnerID=40&md5=dc53a718eb10e438e0ab9f01542426b8;"Midlands Regional Research Laboratory, Department of Geography, University of Leicester, Leicester, LE1 7RH, United Kingdom; South East Regional Research Laboratory, Department of Geography, Birkbeck College London, London, W1P 1PA, United Kingdom";"Langford, M., Midlands Regional Research Laboratory, Department of Geography, University of Leicester, Leicester, LE1 7RH, United Kingdom; Unwin, D.J., South East Regional Research Laboratory, Department of Geography, Birkbeck College London, London, W1P 1PA, United Kingdom";The spatially discontinuous choropleth map is a poor representation of the underlying continuous distribution of population density. A possible alternative is to derive dasy- metric maps at a fine spatial resolution by making use of satellite imagery in a geographical information system. However, there are cartographic problems when these maps are displayed and further processing is needed in order to obtain approximations to a continuous density surface. Isarithmic maps of these density surfaces retain a high degree of spatial accuracy while providing pleasing and highly adaptable presentations. The methods used to generate dasymetric and isarithmic maps are readily implemented in most raster based geographical information systems. For example, the classification of remotely sensed imagery, the subsequent processing and integration of data, and most of the cartographic display, were all undertaken in this work using the low cost IDRISI GIS that operates on standard IBM PC compatible hardware. © 1994 Maney Publishing.;;"choropleth map; GIS; isarithmic map; mapping technique; population mapping; remote sensing; spatial distribution; article; audiovisual equipment; demography; developed country; Europe; Geographic Factors; geography; Northern Europe; population; United Kingdom; Developed Countries; England; Europe; Geographic Factors; Maps; Northern Europe; Population; Spatial Distribution; United Kingdom; Demography; Developed Countries; England; Europe; Geography; Great Britain; Maps; Population";Article;Final;;Scopus;2-s2.0-0028665603;1
Smith D.;"55574205784;";Historic maps in the investigation of development sites and the identification of contamination;1994;Cartographic Journal;31;1;;3;13;;1;10.1179/caj.1994.31.1.3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028591861&doi=10.1179%2fcaj.1994.31.1.3&partnerID=40&md5=700bf6e68020b5c777ccb54a43f133f3;Bexley College, Tower Road, Belvedere, Kent, DA17 6JA, United Kingdom;Smith, D., Bexley College, Tower Road, Belvedere, Kent, DA17 6JA, United Kingdom;Increasing environmental awareness has highlighted the need to identify development sites which have been subject to contamination in the past. This growing consciousness is increasingly reflected in legislation and codes of practice which require the investigation of sites prior to develop¬ment. The first and cheapest step in this investigative process is to trace site use over time through the ‘desktop ’ survey of historic maps and other archive sources. This paper challenges accepted assessments of the usefulness of different types of historic maps and discusses their value and deficiencies in the identification of past site use. © 1994 Maney Publishing.;;"contaminated site; development site; environmental awareness; historic map; historical map; map analysis; pollution; pollution identification; site use";Article;Final;;Scopus;2-s2.0-0028591861;1
Collier P.;"7102262066;";Innovative military mapping using aerial photography in the First World War: Sinai, Palestine and Mesopotamia 1914-1919;1994;Cartographic Journal;31;2;;100;104;;21;10.1179/caj.1994.31.2.100;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028586554&doi=10.1179%2fcaj.1994.31.2.100&partnerID=40&md5=b69dee349a48362e89c37824083d75a0;Department of Geography, University of Portsmouth, Portsmouth, PO1 3HE, United Kingdom;Collier, P., Department of Geography, University of Portsmouth, Portsmouth, PO1 3HE, United Kingdom;The First World War generated an unprecedented requirement for up-to-date medium and large scale maps of operational areas, largely for artillery use. While on the Western Front this demand could, in part, be met by enlarging and revising existing topographic maps, away from the Western Front there were operational areas which were either previously unmapped or only covered by small scale maps which were not suitable for planning and controlling military operations. The required maps had to be produced quickly and were often of areas which were inaccessible on the ground. In these areas aerial photography came to play an important role in the map making process. This paper describes some of the work undertaken and discusses how the lessons learnt were not always readily applied in Britain after the War. © 1994 The British Cartographic Society.;;"aerial photography; military mapping; Middle East";Article;Final;;Scopus;2-s2.0-0028586554;1
Perkins C.;"7101705267;";Quality in map librarianship and documentation in the GIS age;1994;Cartographic Journal;31;2;;93;99;;;10.1179/caj.1994.31.2.93;https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028585606&doi=10.1179%2fcaj.1994.31.2.93&partnerID=40&md5=67f7b2011c56e09ec7fe7a2a969576eb;School of Geography, University of Manchester, Manchester, M13 9PL, United Kingdom;Perkins, C., School of Geography, University of Manchester, Manchester, M13 9PL, United Kingdom;This paper examines possible directions and dimensions of change in the delivery of services in map libraries, in the light of the transition from paper maps to geographical information systems. A contrast is drawn between the majority who will have little option other than 'leaving it to the labs', and a minority of better resourced collections which will seek to integrate the digital with the hard copy, often through active collaboration with other collections, data suppliers and software houses. Only through an appreciation of the diversity of spatial data, and systems for their delivelY in different library contexts, can any quality of future service be guaranteed. © 1994 The British Cartographic Society.;;"digital map data; map librarianship";Article;Final;;Scopus;2-s2.0-0028585606;1
